MiningCity,Long,Lat
BALLARAT,144.283747,-36.758711
BENDIGO,143.867187,-37.563649
BROKEN HILL,141.465136,-31.955858
CESSNOCK,151.356462,-32.834578
CHARTERS TOWERS,146.253815,-20.05048
CLERMONT,147.640287,-22.824784
CLONCURRY,140.505613,-20.704353
COBAR,145.838199,-31.497971
COOBER PEDY,134.754482,-29.013244
COOLGARDIE - KAMBALDA,121.164896,-30.954654
DUBBO,148.609498,-32.243815
DYSART,148.348456,-22.588069
EMERALD,148.162235,-23.526003
GYMPIE,152.665391,-26.190298
KALGOORLIE & BOULDER,121.488357,-30.781984
KALGOORLIE-KAMBALDA-COOLGARDIE,121.474861,-30.747007
KARRATHA,116.846765,-20.736615
LIGHTNING RIDGE,147.978963,-29.427789
MIDDLEMOUNT,148.699822,-22.810274
MOLONG,148.871232,-33.09229
MORANBAH,148.045765,-22.000914
MOUNT ISA,139.497462,-20.724705
NEWMAN-TOM PRICE-PANNAWONICA-PARABADOO,116.324114,-21.639744
ORANGE,149.10127,-33.283577
PARKES,148.174839,-33.283577
PILBARA,117.9249,-22.304176
PORT HEDLAND,118.575258,-20.311627
QUEENSTOWN,145.556354,-42.080026
ROSEBERY - QUE RIVER,151.204092,-33.922516
ROXBY DOWNS,136.898498,-30.560851
TENNANT CREEK,134.191246,-19.64585
WEIPA,141.838406,-12.659147
ZEEHAN,145.335268,-41.882359
