id,AREA_SQKM,Long,Lat,Age_0_4_yr_M,Age_0_4_yr_F,Age_5_14_yr_M,Age_5_14_yr_F,Age_15_19_yr_M,Age_15_19_yr_F,Age_20_24_yr_M,Age_20_24_yr_F,Age_25_34_yr_M,Age_25_34_yr_F,Age_35_44_yr_M,Age_35_44_yr_F,Age_45_54_yr_M,Age_45_54_yr_F,Age_55_64_yr_M,Age_55_64_yr_F,Age_65_74_yr_M,Age_65_74_yr_F,Age_75_84_yr_M,Age_75_84_yr_F,Age_85ov_M,Age_85ov_F,Counted_Census_Night_home_M,Counted_Census_Night_home_F,Count_Census_Nt_Ewhere_Aust_M,Count_Census_Nt_Ewhere_Aust_F,Indigenous_psns_Aboriginal_M,Indigenous_psns_Aboriginal_F,Indig_psns_Torres_Strait_Is_M,Indig_psns_Torres_Strait_Is_F,Indig_Bth_Abor_Torres_St_Is_M,Indig_Bth_Abor_Torres_St_Is_F,Indigenous_P_Tot_M,Indigenous_P_Tot_F,Birthplace_Australia_M,Birthplace_Australia_F,Birthplace_Elsewhere_M,Birthplace_Elsewhere_F,Lang_spoken_home_Eng_only_M,Lang_spoken_home_Eng_only_F,Lang_spoken_home_Oth_Lang_M,Lang_spoken_home_Oth_Lang_F,Australian_citizen_M,Australian_citizen_F,High_yr_schl_comp_Yr_12_eq_M,High_yr_schl_comp_Yr_12_eq_F,Count_psns_occ_priv_dwgs_M,Count_psns_occ_priv_dwgs_F,Count_Persons_other_dwgs_M,Count_Persons_other_dwgs_F,Median_mortgage_repay_monthly,Median_Tot_prsnl_inc_weekly,Median_Tot_fam_inc_weekly,Average_num_psns_per_bedroom,Median_Tot_hhd_inc_weekly,Average_household_size,Total_Total,M_Tot_Married,M_Tot_Separated,M_Tot_Divorced,M_Tot_Widowed,M_Tot_Never_Married,F_Tot_Married,F_Tot_Separated,F_Tot_Divorced,F_Tot_Widowed,F_Tot_Never_Married,Tot_Indigenous_M,Tot_Indigenous_F,Tot_Non_Indigenous_M,Tot_Non_Indigenous_F,Tot_Indig_status_ns_M,Tot_Indig_status_ns_F,SEO_Males,SEO_Females,Buddhism_M,Buddhism_F,Christianity_Tot_M,Christianity_Tot_F,Hinduism_M,Hinduism_F,Islam_M,Islam_F,Judaism_M,Judaism_F,Other_Religions_Tot_M,Other_Religions_Tot_F,No_Religion_M,No_Religion_F,M_Tot_Volunteer,M_Tot_N_a_volunteer,F_Tot_Volunteer,F_Tot_N_a_volunteer,Total_PDs_Dwellings,Total_PDs_Persons,O_OR_Total,O_MTG_Total,R_Tot_Total,lfs_Unmplyed_lookng_for_wrk_M,lfs_Unmplyed_lookng_for_wrk_F,lfs_Tot_LF_M,lfs_Tot_LF_F,M_PGrad_Deg_Total,M_BachDeg_Total,F_PGrad_Deg_Total,F_BachDeg_Total,STATE,Infant_Mort,Accidental_Mort,Old_Age_M,Old_Age_F,Density,Stay_at_home,Aboriginal,Foreign,Unemp,Marriage_Prob,Male_Ratio,Dist_Major_City,Imp_State,AUS_MORT_DTH
1,13.85816426,151.5120208,-33.32910391,440,425,819,737,386,364,424,437,749,838,832,909,875,906,846,942,729,826,489,639,145,231,6307,6839,427,414,245,242,20,16,6,3,271,261,5387,5797,756,874,5943,6408,310,382,5884,6373,1657,1799,6119,6666,553,536,1800,461,962,1.1,763,2.2,13872,2205,258,718,203,2088,2215,369,906,720,1882,271,260,6004,6544,460,448,5945,6408,52,51,4687,5386,16,8,28,35,5,6,22,24,1201,1046,615,4156,871,4512,8499,12785,1782,985,2928,327,310,2986,2756,69,298,69,475,NSW,0.062355825,0.062067474,0.098248396,0.122251856,933.6281224,0.523751171,0.03834787,0.167375478,0.045916529,0.228789735,0.987679671,66.19670571,NotImp,0.539645305
2,2.544181708,153.201009,-27.48458488,140,118,201,184,110,99,121,130,261,265,227,246,272,260,226,259,138,136,58,62,15,20,1682,1711,86,69,29,33,0,0,4,3,33,36,1315,1319,374,375,1614,1596,89,113,1521,1548,629,706,1675,1702,52,59,1842,671,1417,1.1,1158,2.3,3487,597,64,178,32,562,603,56,246,103,470,30,35,1667,1673,70,69,1614,1596,13,11,1070,1177,5,7,4,3,4,3,13,17,496,417,221,1119,287,1090,1575,3375,422,536,463,58,49,1034,944,22,142,25,180,QLD,0.073989102,0.071981646,0.060493119,0.0625,983.8660338,0.515194954,0.01978211,0.272649083,0.030676606,0.194667431,1.072121212,17.58138836,Imp,-0.345540867
3,2.553575671,144.9855345,-37.88092209,418,440,545,491,204,180,374,464,1975,2264,1523,1686,920,949,616,585,276,283,133,167,49,96,6644,7138,387,468,19,9,0,0,0,0,19,9,4401,5083,1904,1933,5360,5953,991,1106,5381,6123,4286,5127,6192,6798,685,566,2200,1061,2391,1.1,1714,1.9,14241,1860,144,559,61,3447,1843,166,653,249,3759,19,12,6328,7033,687,561,5361,5953,107,183,2601,3241,93,50,52,34,274,283,48,46,2767,2856,1007,4372,1503,4599,7675,12990,1219,1652,3746,191,175,4674,4945,560,1706,607,2177,VIC,0.060248578,0.058844182,0.032158405,0.038337312,4007.512804,0.528366802,0.001966016,0.416654964,0.025698638,0.128633619,0.984738169,7.682170658,NotImp,-0.090585446
4,1.869293512,151.2797449,-33.87104754,386,350,617,616,287,250,268,309,747,860,814,855,667,730,552,590,355,399,215,287,90,179,4834,5257,164,167,10,11,3,3,0,0,13,14,2515,2723,2202,2394,3671,3962,1084,1202,4201,4518,3007,3292,4706,5092,217,256,3017,895,2519,1.1,1912,2.5,10270,2166,72,257,69,1432,2168,83,385,381,1436,12,13,4720,5139,267,271,3670,3962,55,73,1439,1792,22,19,43,30,2247,2295,11,18,727,697,746,2946,977,3153,4330,9799,1311,1152,1344,88,127,2886,2690,352,1198,302,1275,NSW,0.071665044,0.056183057,0.064258592,0.0842177,3579.278299,0.527796709,0.002628761,0.670041865,0.020932723,0.121409795,0.976744186,6.72884095,NotImp,0.148444661
5,20.35264674,115.8475533,-31.80508665,851,795,1727,1618,689,684,551,554,1352,1473,1730,1798,1250,1228,712,712,329,381,181,223,52,86,9063,9325,361,227,40,49,0,4,0,0,40,53,5733,5842,3411,3462,6497,6548,2673,2797,8043,8177,3641,3847,9023,9264,221,253,2200,762,2060,1,1955,3.2,18760,4246,136,294,71,2098,4298,176,455,338,1872,41,54,9101,9275,281,224,6497,6549,353,390,5808,6173,391,330,387,395,12,15,75,101,1817,1617,804,5674,1084,5704,6280,18289,1148,3726,767,174,201,5525,4756,163,872,112,1045,WA,0.087739872,0.058901919,0.029955759,0.036778423,878.5796078,0.51628378,0.004957092,0.657907361,0.019988274,0.078354032,1.04722747,16.53760791,NotImp,-0.051713712
6,8.496235987,151.0171903,-33.82154227,979,899,880,811,380,372,1152,1132,4552,3785,1836,1386,1012,880,668,666,363,328,196,268,39,117,11737,10421,319,224,58,57,4,3,5,6,67,66,3031,2686,7719,6956,2790,2332,7931,7293,6070,5432,7049,6160,10517,9504,2153,1345,1777,590,1253,1.4,1242,2.5,23519,5276,239,580,93,4009,4986,253,674,426,2594,68,65,10786,9640,1202,940,2790,2332,408,591,3178,3337,3368,2560,980,802,8,7,677,440,1900,1687,845,7972,895,7026,8571,20020,878,1784,5041,466,527,7256,4802,1510,2113,1119,2093,NSW,0.079850334,0.097112972,0.02542517,0.030314626,2476.665495,0.456632653,0.005654762,1.271215986,0.042219388,0.09630102,1.267423526,18.25794218,NotImp,-0.036122574
7,79.30868731,145.1621427,-37.01602249,153,180,385,414,236,233,247,180,281,343,336,362,443,487,474,440,289,291,192,255,59,89,2898,3090,195,186,49,70,3,0,0,0,52,70,2559,2754,317,270,2757,2938,156,123,2730,2937,687,794,2831,2966,240,250,1127,459,1065,1.1,829,2.3,6288,1097,95,263,110,989,1091,107,314,314,855,54,69,2852,2994,188,212,2757,2936,10,18,1821,2083,0,5,12,3,0,0,15,13,864,743,465,1822,607,1791,2760,5799,872,701,843,107,105,1469,1341,16,112,15,182,VIC,0.052958015,0.067907125,0.085864207,0.100969948,78.29788048,0.522340595,0.019398951,0.137700747,0.033709652,0.191286373,1,90.46411138,NotImp,-0.060024745
8,20.82414369,151.2933589,-23.88289213,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,QLD,0,0,0,0,0,0,0,0,0,0,0,435.0047635,Imp,-0.460900538
9,22.41025461,152.9582522,-27.15839102,422,454,998,958,604,535,371,385,719,720,854,1008,984,978,752,801,424,436,200,209,66,85,6094,6345,298,226,105,126,10,16,6,7,121,149,5118,5218,993,1110,5919,6071,256,311,5688,5863,1842,2123,6075,6295,179,189,1755,577,1449,1.1,1312,2.9,12736,2631,160,367,93,1720,2615,206,501,331,1505,122,148,6030,6207,242,216,5919,6071,46,62,4165,4561,14,14,5,11,3,6,32,34,1517,1400,674,3979,946,3917,4544,12372,1205,2017,995,203,213,3520,3147,42,238,53,397,QLD,0.068781407,0.059359296,0.054172882,0.057313339,544.0350911,0.521551386,0.021198084,0.209625501,0.032660752,0.13017194,1.033791431,35.35344988,Imp,-0.015080118
10,4251.760231,142.0890716,-36.8219219,89,99,243,241,120,123,64,49,131,130,219,234,348,284,278,246,158,137,82,81,24,31,1638,1576,118,79,7,5,0,0,0,0,7,5,1584,1518,76,78,1660,1574,15,17,1647,1568,433,530,1601,1549,90,87,1083,528,1231,1.1,1026,2.6,3326,826,41,110,34,413,824,31,81,89,289,3,5,1675,1605,79,44,1660,1573,8,6,1162,1186,0,0,0,3,0,0,4,5,395,320,541,772,529,688,1547,3148,640,381,174,21,30,1019,823,19,81,17,165,VIC,0.056524354,0.033974744,0.079350766,0.0748422,0.782080301,0.509167418,0.003606853,0.055906222,0.015329125,0.116020439,1.092719353,277.0649198,NotImp,-0.29807099
11,9.46477919,138.6664852,-34.68744785,894,810,1254,1252,630,607,651,811,1253,1304,955,1008,889,866,574,561,354,375,193,202,38,76,7308,7580,376,292,304,326,10,11,17,7,331,344,5854,6012,1307,1354,6556,6759,648,664,6532,6718,1427,1787,7208,7386,383,401,1300,432,950,1.1,853,2.7,15379,1881,258,542,125,2729,1886,331,648,366,2577,332,344,6888,7081,463,447,6556,6759,84,102,3298,3752,9,10,85,84,3,3,29,63,3046,2830,457,4495,639,4656,5896,14594,688,2083,2433,390,363,3310,2737,17,93,18,199,SA,0.110800442,0.095064699,0.038036411,0.042457737,1469.596226,0.517295189,0.043888166,0.258322497,0.048959688,0.147594278,1.088218635,27.49333928,Imp,-0.107653781
12,5.803455917,149.1627706,-21.15143856,235,208,403,384,175,207,201,175,474,455,476,416,445,408,356,326,212,241,183,293,69,166,2938,3169,291,110,77,73,20,20,15,9,112,102,2559,2712,431,389,2755,2950,243,182,2689,2893,969,1056,2823,3009,804,475,2000,670,1710,1.1,1300,2.4,7110,1217,89,237,83,969,1135,96,272,407,777,112,102,2871,3012,246,165,2755,2949,13,20,2275,2542,12,14,14,6,0,0,19,10,568,464,333,2011,505,2029,2660,5834,770,691,882,54,63,1804,1491,37,197,31,347,QLD,0.06230661,0.052883263,0.06525102,0.098439038,1045.057113,0.486570103,0.03009422,0.175080861,0.016453382,0.166502602,1.039935588,804.1058155,Imp,0.042981563
13,2.767343308,151.0524275,-33.9487189,310,265,543,490,280,279,321,280,609,676,574,643,640,728,592,584,394,443,265,349,86,105,4500,4726,115,115,44,43,0,3,0,0,44,46,2071,1999,2084,2416,1689,1684,2507,2782,3571,3779,1849,1912,4252,4516,352,288,2000,384,1099,1.2,805,2.5,9409,1819,141,352,99,1351,1804,145,530,458,1148,46,45,4150,4418,418,378,1689,1686,270,394,2387,2608,67,48,415,443,9,3,19,17,913,852,296,2945,465,3127,3697,8769,773,865,1724,174,164,2023,1762,156,441,136,489,NSW,0.061111702,0.063875013,0.079171095,0.095324123,2497.51595,0.51445271,0.009564293,1.040276302,0.035919235,0.183315622,1.011176857,16.88317018,NotImp,0.085468137
14,9.08195698,145.1222324,-37.99802034,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,6,3,3,3,0,0,0,0,0,0,0,0,6,3,0,3,5,5,3,0,8,5,3,3,4,4,25,4,0,2000,0,1,0,1,33,6,0,0,0,0,3,0,3,0,0,0,0,7,5,0,0,7,6,0,0,8,0,0,0,0,0,0,0,0,0,0,4,0,3,0,6,7,8,3,0,3,0,0,4,0,0,3,0,0,VIC,0,0,0,0.176470588,3.273174054,0.176470588,0,0.176470588,0,0.088235294,0.857142857,24.75264177,NotImp,-0.460315094
