id,AREA_SQKM,Long,Lat,Age_0_4_yr_M,Age_0_4_yr_F,Age_5_14_yr_M,Age_5_14_yr_F,Age_15_19_yr_M,Age_15_19_yr_F,Age_20_24_yr_M,Age_20_24_yr_F,Age_25_34_yr_M,Age_25_34_yr_F,Age_35_44_yr_M,Age_35_44_yr_F,Age_45_54_yr_M,Age_45_54_yr_F,Age_55_64_yr_M,Age_55_64_yr_F,Age_65_74_yr_M,Age_65_74_yr_F,Age_75_84_yr_M,Age_75_84_yr_F,Age_85ov_M,Age_85ov_F,Counted_Census_Night_home_M,Counted_Census_Night_home_F,Count_Census_Nt_Ewhere_Aust_M,Count_Census_Nt_Ewhere_Aust_F,Indigenous_psns_Aboriginal_M,Indigenous_psns_Aboriginal_F,Indig_psns_Torres_Strait_Is_M,Indig_psns_Torres_Strait_Is_F,Indig_Bth_Abor_Torres_St_Is_M,Indig_Bth_Abor_Torres_St_Is_F,Indigenous_P_Tot_M,Indigenous_P_Tot_F,Birthplace_Australia_M,Birthplace_Australia_F,Birthplace_Elsewhere_M,Birthplace_Elsewhere_F,Lang_spoken_home_Eng_only_M,Lang_spoken_home_Eng_only_F,Lang_spoken_home_Oth_Lang_M,Lang_spoken_home_Oth_Lang_F,Australian_citizen_M,Australian_citizen_F,High_yr_schl_comp_Yr_12_eq_M,High_yr_schl_comp_Yr_12_eq_F,Count_psns_occ_priv_dwgs_M,Count_psns_occ_priv_dwgs_F,Count_Persons_other_dwgs_M,Count_Persons_other_dwgs_F,Median_mortgage_repay_monthly,Median_Tot_prsnl_inc_weekly,Median_Tot_fam_inc_weekly,Average_num_psns_per_bedroom,Median_Tot_hhd_inc_weekly,Average_household_size,Total_Total,M_Tot_Married,M_Tot_Separated,M_Tot_Divorced,M_Tot_Widowed,M_Tot_Never_Married,F_Tot_Married,F_Tot_Separated,F_Tot_Divorced,F_Tot_Widowed,F_Tot_Never_Married,Tot_Indigenous_M,Tot_Indigenous_F,Tot_Non_Indigenous_M,Tot_Non_Indigenous_F,Tot_Indig_status_ns_M,Tot_Indig_status_ns_F,SEO_Males,SEO_Females,Buddhism_M,Buddhism_F,Christianity_Tot_M,Christianity_Tot_F,Hinduism_M,Hinduism_F,Islam_M,Islam_F,Judaism_M,Judaism_F,Other_Religions_Tot_M,Other_Religions_Tot_F,No_Religion_M,No_Religion_F,M_Tot_Volunteer,M_Tot_N_a_volunteer,F_Tot_Volunteer,F_Tot_N_a_volunteer,Total_PDs_Dwellings,Total_PDs_Persons,O_OR_Total,O_MTG_Total,R_Tot_Total,lfs_Unmplyed_lookng_for_wrk_M,lfs_Unmplyed_lookng_for_wrk_F,lfs_Tot_LF_M,lfs_Tot_LF_F,M_PGrad_Deg_Total,M_BachDeg_Total,F_PGrad_Deg_Total,F_BachDeg_Total,Infant_Mort,Accidental_Mort,Old_Age_M,Old_Age_F,Density,Stay_at_home,Aboriginal,Foreign,Unemp,Marriage_Prob,Male_Ratio,Dist_Major_City,AUS_MORT_DTH
1,-0.125316009,0.665625647,-0.198780536,0.451391817,0.489312168,0.406435181,0.318340327,0.245644246,0.237130315,0.310458361,0.385117339,0.14879422,0.289496207,0.327151994,0.408540561,0.50869581,0.49569278,0.820001184,0.977772069,1.520114331,1.669959084,1.822522884,1.894721654,1.373401147,0.935522448,0.573198593,0.662645755,1.277141223,1.77522749,0.746311602,0.694901784,0.462008345,0.291698662,0.091954036,-0.092279605,0.778923426,0.689995736,0.972118457,1.064521921,-0.325032065,-0.260366824,0.973186679,1.069112975,-0.392225541,-0.364762577,0.692781688,0.777612743,-0.089049686,-0.096653048,0.575822195,0.66754921,0.227751922,0.465209085,0.147977881,-0.668958883,-0.930687287,0.077890792,-1.030121944,-0.559806106,0.642151061,0.217156942,2.036216959,2.38944148,1.708397659,0.606510038,0.222782226,2.52516515,1.987501003,1.383864602,0.683463112,0.778951958,0.685255821,0.52656833,0.626250121,0.914962066,1.202024379,0.974039526,1.069105656,-0.217654104,-0.268851652,0.980014455,1.043016124,-0.297592517,-0.33254629,-0.248299992,-0.210511822,-0.090356407,-0.084885701,-0.26311387,-0.264308955,0.072334646,0.06044819,0.01984583,0.630882441,0.159097749,0.772537627,1.786483337,0.62331829,0.822247067,-0.272170687,2.143390801,1.655393338,1.850527748,0.233476503,0.32307961,-0.395815786,-0.326441639,-0.348651175,-0.208944741,1.464926312,1.083196373,2.871866343,2.740431921,0.734152068,1.181247587,1.336414704,-0.817456468,2.134956503,7.326114593,1.028267208,66.19670571,0.539645305
2,-0.125763317,0.817034017,0.778766411,-0.760371538,-0.824424329,-0.961632083,-0.980161934,-0.947717575,-0.956937778,-0.760557765,-0.681194079,-0.678321366,-0.694370827,-0.930864392,-0.9131751,-0.913748465,-0.93722069,-0.96400363,-0.841881327,-0.909176597,-0.876158204,-0.878168132,-0.871075732,-0.797729942,-0.830850874,-0.946769418,-0.939587042,-1.08332519,-1.070478868,-0.403917864,-0.393445674,-0.231517603,-0.217637948,-0.030993645,-0.092279605,-0.417347059,-0.411506168,-0.975728066,-0.960459454,-0.626012342,-0.63700261,-0.891287773,-0.889831948,-0.550657417,-0.54887443,-0.965402431,-0.954091653,-0.771557262,-0.794372915,-0.924735124,-0.927202813,-0.525859252,-0.650426435,0.214705814,0.328136062,-0.13535064,0.077890792,-0.238290074,-0.384974557,-0.97195622,-1.010377569,-0.60236579,-0.559927176,-0.853072818,-0.829400542,-0.997691021,-0.767404386,-0.485710913,-0.863211242,-0.818766926,-0.432281701,-0.416305076,-0.929028767,-0.923934489,-0.819254822,-0.802901385,-0.891277452,-0.889826988,-0.364061392,-0.401802351,-0.92747742,-0.921154852,-0.360149256,-0.339081985,-0.321312552,-0.313249509,-0.096422234,-0.101706173,-0.409779065,-0.401539426,-0.814744297,-0.809995035,-1.00340155,-0.890150578,-0.989430845,-0.88206795,-0.920045748,-0.9270579,-0.892973385,-0.765930588,-0.632027323,-0.758792079,-0.758974414,-0.885049178,-0.847817798,-0.61874308,-0.627729066,-0.595446327,-0.732543099,1.630521864,1.483350603,-92.17996415,-91.93071602,-1.11177698,-72.13407763,-48.84478199,-84.24494722,-54.12132287,-147.3300771,1.088930994,17.58138836,-0.345540867
3,-0.125762945,0.080562542,-0.960111955,0.362529171,0.553501248,-0.200118913,-0.25929359,-0.541282752,-0.591958474,0.133723027,0.478897171,2.226752639,2.738002997,1.76399385,1.957519547,0.614848368,0.591072469,0.158192947,0.026650162,-0.341930999,-0.333724521,-0.408210298,-0.367767715,-0.229895658,-0.194621621,0.683950857,0.756067676,1.000253667,2.220642399,-0.457169229,-0.518423373,-0.231517603,-0.217637948,-0.276889007,-0.258534379,-0.487715911,-0.543686397,0.500464068,0.741646373,0.57948458,0.538946396,0.72209206,0.883884392,0.09597404,0.130765237,0.501613544,0.687887127,1.656390407,2.027785853,0.600471314,0.709955993,0.426308159,0.535374841,0.783481997,2.179883817,1.567194184,0.077890792,0.876288456,-1.084300753,0.699503549,-0.046213335,0.485709571,1.521016264,-0.418671392,1.885279683,-0.058865447,0.389728678,1.039436435,-0.331488271,2.680407717,-0.487566225,-0.528909079,0.635310193,0.781873253,1.92436523,1.799799079,0.722516756,0.883878234,-0.011182287,0.169885655,-0.120076242,0.042030915,0.140304657,-0.058047096,-0.175287431,-0.213722375,1.541350972,1.468204605,0.160585582,0.166986813,2.042782342,2.565221223,1.037899062,0.739062597,1.402025954,0.814603871,1.464389177,0.657093754,0.112196248,0.461321193,3.064401764,0.434838629,0.50078525,1.20072617,1.737590883,1.933062969,2.392870522,2.668980453,2.811951552,1.309543634,0.875792837,-0.576660729,-0.52727978,0.800130291,1.033431995,-1.153378903,0.791507764,0.550527759,1.580303428,0.859012994,7.682170658,-0.090585446
4,-0.125789999,0.644803409,-0.28942535,0.233274414,0.16836677,-0.040732436,0.034219579,-0.182409451,-0.276544261,-0.240955882,-0.059468529,0.145404402,0.327271207,0.289723407,0.300889511,0.018035098,0.105301494,-0.025962389,0.039971197,-0.017203447,0.094318385,0.105610266,0.207441446,0.454845686,0.500207695,0.089109322,0.168353188,-0.543394456,-0.262133294,-0.505095456,-0.508008564,-0.127488711,-0.122137334,-0.276889007,-0.258534379,-0.517873991,-0.519208576,-0.401706497,-0.325561318,0.814280712,0.886900499,-0.005350155,0.073356682,0.162644467,0.196470582,0.053147521,0.11184867,0.807239445,0.856408034,0.098709798,0.161880459,-0.277663955,-0.189671304,2.081499154,1.391704003,1.79093724,0.077890792,1.27320671,-0.035311459,0.08230374,0.18738465,-0.493558254,-0.128445465,-0.298836516,-0.010762138,0.187197708,-0.483380815,0.035162505,0.149247566,0.208962689,-0.522747286,-0.524013253,0.095628355,0.179112084,0.056747042,0.265687017,-0.005779483,0.073355604,-0.206392005,-0.195728768,-0.732878443,-0.634159093,-0.263470659,-0.260653644,-0.202667142,-0.226564586,13.50922703,12.74913491,-0.442371331,-0.381935073,-0.524084388,-0.422516334,0.360062599,0.024873237,0.367563556,0.115433893,0.156858878,0.13134982,0.228225867,-0.088522795,0.359917248,-0.48955207,0.020876807,0.176174983,0.280431029,0.946491113,1.411755055,0.958241333,1.210983011,4.879987004,-3.650191472,0.501940892,0.740981942,0.094146418,-0.346521271,-1.661412951,1.903621122,-0.433034873,-1.127050507,0.492612543,6.72884095,0.148444661
5,-0.125059244,-2.531494963,0.056124685,2.111507614,2.072642801,2.416475756,2.387021145,1.555747984,1.67902386,0.75936611,0.791496609,1.170824339,1.379820058,2.194422597,2.180795798,1.393300459,1.209931383,0.43442595,0.365004454,-0.124075806,0.027897934,-0.107437285,-0.099336773,-0.179792632,-0.278335996,1.478935206,1.439391218,0.820276756,0.23277216,-0.345341364,-0.310127208,-0.231517603,-0.090303795,-0.276889007,-0.258534379,-0.382162633,-0.32828158,1.137628009,1.08487122,1.766859652,1.69300675,1.211791171,1.126106385,1.301776823,1.28813752,1.513322489,1.425072791,1.228163378,1.210693968,1.556384403,1.502191788,-0.2716471,-0.19668788,0.783481997,0.760210538,0.988608622,-0.364273749,1.359406129,1.188509383,1.401877242,1.775240236,0.376902034,0.073640906,-0.268877797,0.615919675,1.799857767,0.494922593,0.29747286,-0.007355775,0.672824089,-0.376997178,-0.323284378,1.565992865,1.495384626,0.119000982,0.017055062,1.211780226,1.126505802,0.912309841,0.857905523,1.571194547,1.410277364,1.835023591,1.77194753,0.843846224,0.945287157,-0.04789562,-0.034424283,0.600581167,1.245226233,0.847427737,0.85062797,0.510692924,1.391148534,0.577996021,1.348893515,0.919096272,1.530148317,0.022651651,2.742074056,-0.28974452,0.28226929,0.760735657,1.68836211,1.615460855,0.050038802,0.782141586,-0.107465004,0.802753783,2.984676753,1.106275695,-0.171243441,-0.145625609,1.602253903,0.94079245,-0.629804609,2.518771834,0.434245735,0.402478863,1.064103866,16.53760791,-0.051713712
6,-0.125527997,0.621266849,-0.281145161,2.628526645,2.517687086,0.541470947,0.492100124,0.219701597,0.273177653,2.88372483,2.799079671,6.594533101,5.349629104,2.414835385,1.359458163,0.831871375,0.43802134,0.307819157,0.242450931,0.015680355,-0.167673394,-0.013445718,0.116366662,-0.396905741,-0.018821432,2.357723198,1.78183411,0.529544822,0.208026887,-0.249488908,-0.268467976,-0.092812413,-0.122137334,0.030480196,0.073975169,-0.246451276,-0.264639248,-0.154877223,-0.342292964,5.161160789,4.33021203,-0.384791595,-0.590209449,5.07116507,4.365337867,0.763472095,0.439885523,3.490795496,2.687204538,2.060847192,1.579295029,2.634494192,2.357345637,0.111436395,-0.056457703,-0.422021431,1.404384415,-0.069900512,-0.035311459,2.141553366,2.561534108,1.777799061,1.635713934,0.060668112,2.414101273,2.320754537,1.304915737,1.118129541,0.313134783,1.440961545,-0.241298801,-0.26943029,2.131517677,1.611545041,4.214420865,3.804724844,-0.384786396,-0.590206368,1.118781658,1.525982786,0.184215384,0.086830253,18.765152,16.34654758,2.647864903,2.251982115,-0.072158927,-0.079278877,10.4108531,7.891101932,0.951863981,0.947497646,0.617172981,2.542065188,0.206297554,1.988107008,1.814627487,1.815345042,-0.317870057,0.606480006,4.522481468,2.902872048,4.020113836,2.680251431,1.645185624,6.439040193,3.178921694,5.540778583,2.662859138,2.403028481,2.653589955,-0.125629285,-0.022322767,2.44896733,0.735743966,-0.200044753,6.025005324,2.203682407,1.976844079,1.511715991,18.25794218,-0.036122574
7,-0.122728366,0.09639449,-0.815449929,-0.707861792,-0.559109466,-0.554311085,-0.440097702,-0.402921961,-0.353144856,-0.315184723,-0.507527724,-0.644423187,-0.560441283,-0.704213506,-0.681924698,-0.510368745,-0.433704656,-0.250401705,-0.359659856,-0.28849482,-0.304204321,-0.038510136,0.054052337,-0.062885574,-0.253221684,-0.547141072,-0.508721397,-0.3288066,-0.105413233,-0.297415136,-0.200771722,-0.127488711,-0.217637948,-0.276889007,-0.258534379,-0.321846474,-0.245056992,-0.38065904,-0.311542912,-0.670923012,-0.716254629,-0.399004498,-0.343509403,-0.502626033,-0.542030124,-0.505914785,-0.455576128,-0.733050025,-0.738197848,-0.534401132,-0.521125747,-0.243067035,-0.203704456,-0.921257794,-0.678455026,-0.750644046,0.077890792,-0.897815859,-0.384974557,-0.536605763,-0.628681514,-0.180736588,-0.095674702,0.315317224,-0.42760905,-0.62821773,-0.23091542,-0.23089514,-0.094762291,-0.409164543,-0.311660922,-0.249846985,-0.531315472,-0.50352926,-0.294543046,-0.046425437,-0.398999155,-0.344322054,-0.375323492,-0.378535979,-0.531423675,-0.4983611,-0.388584137,-0.352153375,-0.296975032,-0.313249509,-0.12068554,-0.118526646,-0.3771868,-0.479956839,-0.351701672,-0.358859118,-0.369715355,-0.538064239,-0.360100109,-0.543120402,-0.456839947,-0.527683629,-0.325437206,-0.584482072,-0.204173819,-0.319033397,-0.19908123,-0.635787564,-0.59128012,-0.647201884,-0.685668956,-0.651536134,-0.72899328,2.361083958,1.533178553,-0.841379755,-1.086275201,-0.611675725,-1.807376808,-2.975300064,-5.247872336,-1.118086039,-1.117119885,1.151131356,90.46411138,-0.060024745
8,-0.125040603,0.646023829,1.381181038,-1.325861103,-1.329378423,-1.406585999,-1.412213319,-1.423332794,-1.403023594,-1.188257275,-1.132726602,-1.120692612,-1.149387867,-1.402880458,-1.403585435,-1.555381704,-1.513935089,-1.61430216,-1.531910946,-1.476422194,-1.378001612,-1.24160219,-1.168267132,-1.048245068,-0.998279625,-1.499544811,-1.474185387,-1.678633435,-1.639620139,-0.558346821,-0.565290009,-0.231517603,-0.217637948,-0.276889007,-0.258534379,-0.583216496,-0.587746473,-1.604760035,-1.556920024,-0.920689367,-0.920045535,-1.586427936,-1.539556822,-0.614460299,-0.626215097,-1.543467534,-1.50967267,-1.189161606,-1.245050157,-1.490314222,-1.473993293,-0.604078376,-0.788419089,-2.71179064,-2.857819692,-2.612256199,-4.785919157,-2.559660467,-4.406100181,-1.513929459,-1.466122658,-1.472826078,-1.532126474,-1.332412323,-1.358222132,-1.454232812,-1.356490309,-1.407544446,-1.238330873,-1.318801004,-0.583057676,-0.587658994,-1.488512364,-1.456362913,-1.13052452,-1.167914255,-1.586410586,-1.53954779,-0.412863822,-0.438363793,-1.491761719,-1.470413403,-0.388584137,-0.384831851,-0.333481312,-0.322881167,-0.12068554,-0.118526646,-0.621628792,-0.734813429,-1.438845228,-1.387061529,-1.57735503,-1.450583884,-1.55386185,-1.409104794,-1.535699028,-1.483117373,-1.425196202,-1.355363343,-1.153333039,-1.279322764,-1.24888095,-1.477546901,-1.457821745,-0.723092027,-0.901977878,-0.735670845,-1.052026843,1.753872686,1.53308588,7.32837822,6.896955039,-1.730285386,6.134730689,4.102150075,5.995784531,4.919359401,16.22738366,1.114056476,435.0047635,-0.460900538
9,-0.124977894,0.795272223,0.833325188,0.378686016,0.613411056,0.802687673,0.837271611,1.188227133,1.007642178,0.123118907,0.20450433,0.09794695,0.086884846,0.372898044,0.605900818,0.765820895,0.655398306,0.549523035,0.602118879,0.266419351,0.230849312,0.011618699,-0.166444509,0.054021485,-0.286707434,0.503197904,0.508296496,0.384178856,0.224523736,0.000792503,0.090842908,0.115245371,0.291698662,0.091954036,0.129393427,0.024971439,0.141692566,0.843441955,0.802694271,-0.138298228,-0.082238476,0.962850022,0.931921695,-0.430937402,-0.413357155,0.618290721,0.594572486,0.033775121,0.110173336,0.560965191,0.548360451,-0.334824084,-0.346374826,0.076483668,-0.118182628,-0.079414876,0.077890792,0.070424123,0.664014736,0.46558622,0.54236198,0.703324643,0.472351853,0.060668112,0.260235403,0.525629185,0.810504337,0.469848236,-0.032849342,0.282371948,0.030097953,0.136923285,0.535294529,0.519000642,-0.054420707,-0.025265271,0.962841594,0.931915236,-0.240178302,-0.23229021,0.704728097,0.658021813,-0.308966469,-0.293332119,-0.318270362,-0.287565087,-0.10248806,-0.084885701,-0.100152543,-0.068265424,0.469947336,0.550331977,0.17307323,0.542234814,0.30659714,0.484843204,0.240509546,0.555273086,0.094539567,0.862707305,-0.033032418,0.542534633,0.880712768,0.539466623,0.575740144,-0.523880402,-0.442321419,-0.438394867,-0.347387696,2.130855744,0.70367898,0.226571137,-0.151681714,0.532085095,0.608954519,0.491221122,-0.726556546,0.971111342,1.694781109,1.101435775,35.35344988,-0.015080118
10,0.042233103,-0.179089197,-0.782984907,-0.966371308,-0.905730497,-0.868656638,-0.846319929,-0.904479828,-0.848795762,-0.962036047,-0.962533574,-0.898659535,-0.926171961,-0.94749932,-0.937097555,-0.73446859,-0.883985514,-0.81437742,-0.876516018,-0.82696709,-0.872468179,-0.727781625,-0.780000948,-0.647420867,-0.738765061,-0.961229654,-0.981767507,-0.861815145,-0.987994625,-0.521070866,-0.539252989,-0.231517603,-0.217637948,-0.276889007,-0.258534379,-0.54803207,-0.563268653,-0.847051564,-0.870470331,-0.860808475,-0.861172606,-0.871475848,-0.898788055,-0.603707004,-0.614579776,-0.917515381,-0.946913604,-0.901685166,-0.906723049,-0.949721903,-0.976356129,-0.468699123,-0.584938396,-0.991163246,-0.350838115,-0.460477269,0.077890792,-0.502902243,0.139520089,-0.996979934,-0.835560776,-0.915187456,-0.931329155,-0.823114099,-0.969604131,-0.830368076,-1.030389173,-1.104013893,-0.914198376,-1.011333241,-0.567980078,-0.563179862,-0.926343782,-0.945575334,-0.779234432,-0.935152425,-0.871465727,-0.899190133,-0.382831558,-0.418421189,-0.878959518,-0.916954914,-0.388584137,-0.384831851,-0.333481312,-0.313249509,-0.12068554,-0.118526646,-0.55644426,-0.636791664,-0.941829366,-0.944228728,-0.172337688,-1.063939995,-0.513499476,-1.076443006,-0.930990695,-0.964458048,-0.618033636,-0.936382224,-0.957421172,-1.090854757,-0.948938173,-0.893644406,-0.926006863,-0.632972482,-0.745540176,-0.640318173,-0.759166745,1.877772803,1.930399555,-729.1792498,-791.7820527,-0.956580569,-610.4444574,-677.1052947,-973.5772987,-675.4133245,-1893.412871,1.079257035,277.0649198,-0.29807099
