id,AREA_SQKM,Long,Lat,Age_0_4_yr_M,Age_0_4_yr_F,Age_5_14_yr_M,Age_5_14_yr_F,Age_15_19_yr_M,Age_15_19_yr_F,Age_20_24_yr_M,Age_20_24_yr_F,Age_25_34_yr_M,Age_25_34_yr_F,Age_35_44_yr_M,Age_35_44_yr_F,Age_45_54_yr_M,Age_45_54_yr_F,Age_55_64_yr_M,Age_55_64_yr_F,Age_65_74_yr_M,Age_65_74_yr_F,Age_75_84_yr_M,Age_75_84_yr_F,Age_85ov_M,Age_85ov_F,Counted_Census_Night_home_M,Counted_Census_Night_home_F,Count_Census_Nt_Ewhere_Aust_M,Count_Census_Nt_Ewhere_Aust_F,Indigenous_psns_Aboriginal_M,Indigenous_psns_Aboriginal_F,Indig_psns_Torres_Strait_Is_M,Indig_psns_Torres_Strait_Is_F,Indig_Bth_Abor_Torres_St_Is_M,Indig_Bth_Abor_Torres_St_Is_F,Indigenous_P_Tot_M,Indigenous_P_Tot_F,Birthplace_Australia_M,Birthplace_Australia_F,Birthplace_Elsewhere_M,Birthplace_Elsewhere_F,Lang_spoken_home_Eng_only_M,Lang_spoken_home_Eng_only_F,Lang_spoken_home_Oth_Lang_M,Lang_spoken_home_Oth_Lang_F,Australian_citizen_M,Australian_citizen_F,High_yr_schl_comp_Yr_12_eq_M,High_yr_schl_comp_Yr_12_eq_F,Count_psns_occ_priv_dwgs_M,Count_psns_occ_priv_dwgs_F,Count_Persons_other_dwgs_M,Count_Persons_other_dwgs_F,Median_mortgage_repay_monthly,Median_Tot_prsnl_inc_weekly,Median_Tot_fam_inc_weekly,Average_num_psns_per_bedroom,Median_Tot_hhd_inc_weekly,Average_household_size,Total_Total,M_Tot_Married,M_Tot_Separated,M_Tot_Divorced,M_Tot_Widowed,M_Tot_Never_Married,F_Tot_Married,F_Tot_Separated,F_Tot_Divorced,F_Tot_Widowed,F_Tot_Never_Married,Tot_Indigenous_M,Tot_Indigenous_F,Tot_Non_Indigenous_M,Tot_Non_Indigenous_F,Tot_Indig_status_ns_M,Tot_Indig_status_ns_F,SEO_Males,SEO_Females,Buddhism_M,Buddhism_F,Christianity_Tot_M,Christianity_Tot_F,Hinduism_M,Hinduism_F,Islam_M,Islam_F,Judaism_M,Judaism_F,Other_Religions_Tot_M,Other_Religions_Tot_F,No_Religion_M,No_Religion_F,M_Tot_Volunteer,M_Tot_N_a_volunteer,F_Tot_Volunteer,F_Tot_N_a_volunteer,Total_PDs_Dwellings,Total_PDs_Persons,O_OR_Total,O_MTG_Total,R_Tot_Total,lfs_Unmplyed_lookng_for_wrk_M,lfs_Unmplyed_lookng_for_wrk_F,lfs_Tot_LF_M,lfs_Tot_LF_F,M_PGrad_Deg_Total,M_BachDeg_Total,F_PGrad_Deg_Total,F_BachDeg_Total,DEATHS,Infant_Mort,Accidental_Mort,Old_Age_M,Old_Age_F,Density,Stay_at_home,Aboriginal,Foreign,Unemp,Marriage_Prob,Male_Ratio,Dist_Major_City,Imp_State,STATE,AUS_MORT_DTH
1,129.9506721,150.9001168,-34.10106652,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36.02371294,NotImp,NSW,-0.460900538
2,167.6796518,116.3040342,-31.80975299,68,63,214,199,134,112,297,61,638,104,523,233,386,263,238,170,125,89,45,45,7,11,2609,1297,67,50,418,14,0,0,10,0,428,14,967,945,1631,325,1182,1230,51,51,1140,1179,329,472,1211,1274,1429,51,1900,607,1559,1.1,1340,2.7,3966,1004,99,128,21,1143,568,41,109,53,315,427,18,2172,1257,76,72,1182,1229,5,18,664,724,0,0,0,8,3,0,7,12,477,441,163,778,270,750,1038,2486,340,466,104,28,22,723,677,8,51,19,121,3,0.275896414,0.696215139,0.144278607,2.647761194,8.55895543,0.11641791,0.449751244,2.684577114,0.741293532,1.760199005,0.294824197,45.1367966,NotImp,WA,-0.38387703
3,369.5242485,145.4961838,-37.62613503,407,432,872,826,419,413,344,346,635,699,824,918,978,988,860,894,602,591,267,343,69,117,5896,6239,379,329,128,154,7,0,0,3,135,157,5015,5345,937,944,5783,6077,227,271,5631,5939,1794,2348,5791,6131,382,402,1533,525,1293,1.1,1069,2.5,12706,2546,150,450,125,1721,2551,172,616,410,1562,135,154,5857,6179,286,233,5783,6078,91,99,3011,3496,14,7,3,9,7,12,41,54,2368,2253,928,3671,1300,3653,5291,11919,1714,1991,899,125,129,3347,2966,90,402,114,613,79,0.512175962,0.385310291,0.412642324,2.446800157,17.37929231,0.277974087,0.117393011,4.958382411,1.364742835,1.917550059,0.589920949,51.32117296,NotImp,VIC,0.089269507
4,36.94872909,144.7532791,-37.90645971,2192,1903,2580,2531,811,776,759,779,3352,3747,3658,3517,1743,1576,811,807,312,330,92,100,8,29,15845,15701,473,394,69,55,3,4,0,0,72,59,8880,8768,6828,6788,9606,9261,6125,6308,12339,11933,7704,8205,15631,15571,459,380,2200,849,2057,1,1986,3.1,32038,7349,229,486,56,3427,7436,302,623,270,3029,70,59,15646,15546,603,488,9605,9263,663,756,8588,9021,1021,976,710,683,31,24,238,221,3907,3412,1249,9666,1571,9540,11211,31201,1234,6260,2512,390,498,9645,7772,1118,2374,852,2720,30,0.610014968,0.562117295,0.06244898,2.169387755,50.42082104,0.117959184,0.018231293,4.767482993,1.38,1.073605442,0.604620586,21.10299812,NotImp,VIC,-0.24567513
5,119.4395397,149.5589302,-33.3991167,752,760,1523,1403,1020,897,1231,1170,1532,1361,1421,1387,1404,1453,1212,1209,768,882,471,689,126,313,10811,10969,647,557,528,415,7,11,12,15,547,441,9670,9942,1116,917,9999,10586,426,406,9937,10486,3701,4263,9702,10366,1952,1359,1600,531,1403,1.1,1066,2.4,23380,3860,265,646,225,4190,3713,377,919,899,3456,548,441,10350,10564,562,519,10000,10586,92,96,7665,8625,25,31,37,31,5,3,35,48,2089,1768,1616,6348,2108,6540,9165,20069,2532,2606,2966,353,332,5756,5264,255,796,221,1183,152,0.591450777,0.7,0.487956488,2.954674955,25.63780173,0.311836312,0.260813261,5.506086506,1.576793577,2.676767677,0.576545928,161.2198977,NotImp,NSW,0.614250076
6,6.035217675,115.7688035,-31.80644588,370,333,483,477,292,270,293,283,661,613,644,618,515,631,497,534,291,265,100,125,31,40,3953,4037,224,152,35,33,0,0,0,3,35,36,2669,2663,1308,1347,3628,3566,368,473,3534,3570,1642,1835,3917,4007,135,127,1842,722,1815,1,1584,2.6,8188,1635,77,243,60,1308,1663,83,372,200,1066,36,34,3949,3984,191,172,3627,3567,29,44,2292,2506,22,31,60,57,7,7,31,19,1316,1177,399,2710,640,2557,3302,7924,984,1433,605,99,72,2523,2230,87,401,79,537,40,0.499082569,0.577370031,0.262836186,2.496332518,14.00202752,0.229828851,0.043398533,5.490220049,1.586185819,1.98594132,0.59,18.3601376,NotImp,WA,-0.228381624
7,6.183987251,145.1878167,-37.85438684,241,228,665,673,413,422,396,374,511,450,622,722,771,878,932,1044,660,612,256,317,87,143,5358,5620,198,240,3,9,0,0,4,0,7,9,3374,3533,2004,2152,3531,3683,1858,2010,4855,5122,2790,2808,5316,5572,152,172,1811,564,1783,1,1560,2.9,11213,2895,72,173,97,1413,2959,97,271,401,1230,3,12,5395,5682,156,169,3531,3683,239,311,3444,3813,126,110,51,43,8,12,55,54,1283,1169,878,3562,1081,3638,4098,10887,2072,1268,386,124,124,3123,2747,304,934,218,921,75,0.308462867,0.305699482,0.370165746,1.968577348,19.80329186,0.151243094,0.006906077,4.332872928,1.121201657,1.237914365,0.577010137,20.22118054,NotImp,VIC,0.159375535
8,6.787647617,151.3163293,-33.44822249,204,180,422,393,174,162,180,146,259,258,426,438,424,464,360,390,338,379,221,257,72,166,2938,3128,139,107,31,41,3,4,0,0,34,45,2294,2410,574,600,2697,2851,168,180,2681,2823,1093,1112,2761,2912,239,294,2000,530,1470,1.1,1136,2.5,6205,1311,67,208,97,772,1303,72,330,353,601,35,45,2819,2973,227,215,2698,2849,17,46,2007,2270,11,8,12,9,0,9,11,9,674,558,401,1808,524,1909,2515,5674,905,859,486,80,68,1493,1309,80,283,64,330,83,0.459191457,0.308924485,0.611280488,2.462652439,8.607087669,0.1875,0.0625,4.693597561,1.189786585,1.799542683,0.581893449,47.70577691,NotImp,NSW,0.070519381
9,63.98505742,141.5841231,-38.34025291,319,298,740,683,379,352,256,237,586,606,687,704,818,824,761,745,441,467,254,321,81,156,4908,5009,414,383,85,97,3,3,3,3,91,103,4577,4649,448,447,4910,4990,152,158,4823,4903,1093,1415,4797,4848,387,354,1235,480,1226,1.1,930,2.3,10386,2069,158,385,123,1529,2085,169,477,479,1199,89,104,4957,5034,277,254,4910,4991,39,44,2997,3405,15,7,8,9,0,0,29,23,1597,1341,988,2901,1195,2859,4903,9645,1454,1478,1174,133,121,2730,2293,33,222,31,383,82,0.501691638,0.397776704,0.456038647,2.532850242,14.51073202,0.385024155,0.096618357,4.994202899,1.377294686,2.025120773,0.578275788,301.4909766,NotImp,VIC,0.132021942
10,9.877842941,150.9177974,-33.71033584,1357,1248,1802,1798,619,564,685,575,2255,2330,2402,2142,1221,1113,685,716,312,304,105,122,16,32,11185,10737,274,206,191,53,4,7,3,3,198,63,6644,6228,4524,4431,6502,6601,3975,4106,9167,9208,5111,5417,10408,10729,932,177,2886,891,2302,1.1,2262,3.3,22245,5274,157,325,52,2492,5070,215,514,264,1836,199,62,10986,10630,275,251,6501,6601,269,287,6539,7098,963,897,648,645,11,14,443,425,1368,1153,939,6283,1102,6485,6754,21138,758,4504,1158,229,278,6330,5584,612,1570,522,1934,39,0.578308684,0.536594615,0.086824645,2.143317536,34.71614315,0.090995261,0.050805687,4.588815166,1.252701422,1.03943128,0.575001314,31.93104834,NotImp,NSW,-0.239022078
11,8.786874205,151.111177,-33.8130952,871,820,1631,1444,723,705,856,887,1918,1950,1938,2094,1755,1829,1352,1399,847,942,670,849,219,442,12312,13003,469,357,44,44,0,0,0,0,44,44,7531,7714,4700,5089,7383,7574,4907,5277,10695,11113,6282,6523,12112,12666,547,613,2400,647,1811,1.1,1451,2.6,25936,5580,220,552,256,3670,5600,289,849,1050,3310,45,45,12265,12849,472,467,7383,7574,392,518,8294,9165,260,201,388,325,38,35,102,89,2434,2175,1435,8186,1930,8412,10134,24776,3131,2997,3059,327,287,7109,6453,765,1923,680,2214,196,0.439247312,0.502688172,0.400107508,2.365346712,36.68369485,0.14800215,0.015767784,5.096577674,1.325210536,1.735710446,0.599040531,10.71847525,NotImp,NSW,1.096925581
12,21.0342825,115.7807308,-32.31822841,0,3,3,3,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,7,5,0,0,7,6,0,0,0,0,7,6,8,5,0,0,8,4,0,0,8,5,0,0,8,5,3,0,0,0,0,0,0,0,15,3,0,0,0,4,0,0,0,0,3,9,6,0,0,0,0,7,5,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1.75,0.02568917,0,3.25,4,0,1.75,0.352941176,41.17654984,NotImp,WA,-0.46087493
