id,Age_0_4_yr_M,Age_0_4_yr_F,Age_5_14_yr_M,Age_5_14_yr_F,Age_15_19_yr_M,Age_15_19_yr_F,Age_20_24_yr_M,Age_20_24_yr_F,Age_25_34_yr_M,Age_25_34_yr_F,Age_35_44_yr_M,Age_35_44_yr_F,Age_45_54_yr_M,Age_45_54_yr_F,Age_55_64_yr_M,Age_55_64_yr_F,Age_65_74_yr_M,Age_65_74_yr_F,Age_75_84_yr_M,Age_75_84_yr_F,Age_85ov_M,Age_85ov_F,Counted_Census_Night_home_M,Counted_Census_Night_home_F,Count_Census_Nt_Ewhere_Aust_M,Count_Census_Nt_Ewhere_Aust_F,Indigenous_psns_Aboriginal_M,Indigenous_psns_Aboriginal_F,Indig_psns_Torres_Strait_Is_M,Indig_psns_Torres_Strait_Is_F,Indig_Bth_Abor_Torres_St_Is_M,Indig_Bth_Abor_Torres_St_Is_F,Indigenous_P_Tot_M,Indigenous_P_Tot_F,Birthplace_Australia_M,Birthplace_Australia_F,Birthplace_Elsewhere_M,Birthplace_Elsewhere_F,Lang_spoken_home_Eng_only_M,Lang_spoken_home_Eng_only_F,Lang_spoken_home_Oth_Lang_M,Lang_spoken_home_Oth_Lang_F,Australian_citizen_M,Australian_citizen_F,High_yr_schl_comp_Yr_12_eq_M,High_yr_schl_comp_Yr_12_eq_F,Count_psns_occ_priv_dwgs_M,Count_psns_occ_priv_dwgs_F,Count_Persons_other_dwgs_M,Count_Persons_other_dwgs_F,Median_mortgage_repay_monthly,Median_Tot_prsnl_inc_weekly,Median_Tot_fam_inc_weekly,Average_num_psns_per_bedroom,Median_Tot_hhd_inc_weekly,Average_household_size,Total_Total,M_Tot_Married,M_Tot_Separated,M_Tot_Divorced,M_Tot_Widowed,M_Tot_Never_Married,F_Tot_Married,F_Tot_Separated,F_Tot_Divorced,F_Tot_Widowed,F_Tot_Never_Married,Tot_Indigenous_M,Tot_Indigenous_F,Tot_Non_Indigenous_M,Tot_Non_Indigenous_F,Tot_Indig_status_ns_M,Tot_Indig_status_ns_F,SEO_Males,SEO_Females,Buddhism_M,Buddhism_F,Christianity_Tot_M,Christianity_Tot_F,Hinduism_M,Hinduism_F,Islam_M,Islam_F,Judaism_M,Judaism_F,Other_Religions_Tot_M,Other_Religions_Tot_F,No_Religion_M,No_Religion_F,M_Tot_Volunteer,M_Tot_N_a_volunteer,F_Tot_Volunteer,F_Tot_N_a_volunteer,Total_PDs_Dwellings,Total_PDs_Persons,O_OR_Total,O_MTG_Total,R_Tot_Total,lfs_Unmplyed_lookng_for_wrk_M,lfs_Unmplyed_lookng_for_wrk_F,lfs_Tot_LF_M,lfs_Tot_LF_F,M_PGrad_Deg_Total,M_BachDeg_Total,F_PGrad_Deg_Total,F_BachDeg_Total,DEATHS,Infant_Mort,Accidental_Mort,Old_Age_M,Old_Age_F,Density,Stay_at_home,Aboriginal,Foreign,Unemp,Marriage_Prob,Male_Ratio,Dist_Major_City,AUS_MORT_DTH,AREA_SQKM,Long,Lat
1,-1.325861103,-1.329378423,-1.406585999,-1.412213319,-1.423332794,-1.403023594,-1.188257275,-1.132726602,-1.120692612,-1.149387867,-1.402880458,-1.403585435,-1.555381704,-1.513935089,-1.61430216,-1.531910946,-1.476422194,-1.378001612,-1.24160219,-1.168267132,-1.048245068,-0.998279625,-1.499544811,-1.474185387,-1.678633435,-1.639620139,-0.558346821,-0.565290009,-0.231517603,-0.217637948,-0.276889007,-0.258534379,-0.583216496,-0.587746473,-1.604760035,-1.556920024,-0.920689367,-0.920045535,-1.586427936,-1.539556822,-0.614460299,-0.626215097,-1.543467534,-1.50967267,-1.189161606,-1.245050157,-1.490314222,-1.473993293,-0.604078376,-0.788419089,-2.71179064,-2.857819692,-2.612256199,-4.785919157,-2.559660467,-4.406100181,-1.513929459,-1.466122658,-1.472826078,-1.532126474,-1.332412323,-1.358222132,-1.454232812,-1.356490309,-1.407544446,-1.238330873,-1.318801004,-0.583057676,-0.587658994,-1.488512364,-1.456362913,-1.13052452,-1.167914255,-1.586410586,-1.53954779,-0.412863822,-0.438363793,-1.491761719,-1.470413403,-0.388584137,-0.384831851,-0.333481312,-0.322881167,-0.12068554,-0.118526646,-0.621628792,-0.734813429,-1.438845228,-1.387061529,-1.57735503,-1.450583884,-1.55386185,-1.409104794,-1.535699028,-1.483117373,-1.425196202,-1.355363343,-1.153333039,-1.279322764,-1.24888095,-1.477546901,-1.457821745,-0.723092027,-0.901977878,-0.735670845,-1.052026843,0,1.86612246,1.536992285,7.604325411,8.129602813,-0.910198824,7.118842047,4.576232046,10.03202918,5.849163963,17.56498449,1.040713944,36.02371294,-0.460900538,-0.120726191,0.610771865,-0.327898037
2,-1.051194743,-1.059784288,-0.932853969,-0.944940354,-0.843946982,-0.898360853,-0.138449388,-0.920853649,-0.039340678,-0.970815142,-0.315372078,-0.939091093,-0.644828652,-0.930566293,-0.929474505,-1.078995752,-0.962612776,-1.049589382,-0.95962749,-0.952563697,-0.931338009,-0.906193812,-0.642118532,-1.06894047,-1.214846779,-1.227198928,1.667560202,-0.492386352,-0.231517603,-0.217637948,0.337849399,-0.258534379,1.568059838,-0.519208576,-1.142194321,-1.129584741,0.364386109,-0.674741666,-1.077347594,-1.038829005,-0.577899097,-0.591309133,-1.110203749,-1.086526663,-0.970732625,-0.943747525,-1.081408976,-1.064703592,1.545443315,-0.669137303,0.30685391,0.024259507,0.112864314,0.077890792,0.126553977,0.314351638,-0.897506784,-0.69967698,-0.12633282,-0.833016866,-1.017845773,-0.282700643,-1.02419013,-0.925195258,-0.999089751,-1.04530815,-0.983671781,1.562987023,-0.499534122,-0.759539135,-1.056325538,-0.792574562,-0.78703126,-1.077335391,-1.039230205,-0.394093657,-0.378535979,-1.141589033,-1.132551729,-0.388584137,-0.384831851,-0.333481312,-0.297196746,-0.10248806,-0.118526646,-0.507555862,-0.499561192,-0.838651389,-0.776782575,-1.154031875,-1.060934991,-1.022864041,-1.046464764,-1.1299542,-1.073528084,-0.996391089,-0.842908746,-1.036236291,-1.028032088,-1.028922913,-1.063256907,-1.020350694,-0.685146955,-0.803480065,-0.629100211,-0.837262771,3,2.847940282,1.372339456,-9.684062498,-8.434531708,0.469401035,-8.131397021,2.350245931,-11.49962512,-6.966431756,-17.18693749,1.459020034,45.1367966,-0.38387703,-0.119234544,-2.490574004,0.055344199
3,0.318097848,0.519267072,0.523761338,0.527321704,0.388328811,0.457920264,0.027681826,0.069044574,-0.044425405,0.050826892,0.310517066,0.426482402,0.751667221,0.677579629,0.860285164,0.849890132,0.998083962,0.802803196,0.431447697,0.475872389,0.10412451,-0.018821432,0.438126841,0.475177019,0.944876156,1.074111431,0.123270641,0.236650222,0.011216479,-0.217637948,-0.276889007,-0.092279605,0.095340291,0.180857078,0.79417177,0.860124515,-0.182420991,-0.207532145,0.904275634,0.93436427,-0.451727105,-0.440734383,0.596627532,0.621849073,0.001907063,0.253802769,0.465069989,0.495673237,-0.029468659,0.151802041,-0.276221116,-0.365082329,-0.352101726,0.077890792,-0.416702825,-0.035311459,0.460923416,0.477473651,0.567315223,0.925680739,0.540007617,0.261176366,0.477173672,0.452845027,0.900786676,0.254863773,0.343014378,0.095434208,0.166298243,0.477231744,0.510089706,0.141234532,0.064665436,0.904267798,0.934764888,-0.071246815,-0.109310813,0.096144844,0.161029157,-0.308966469,-0.339081985,-0.324354742,-0.293986193,-0.078224754,-0.051244755,0.046512652,0.323821638,1.540733408,1.730758163,0.832730171,0.387977925,1.002794268,0.357193913,0.532505101,0.480637548,0.736486045,0.834115417,-0.141121724,-0.157489391,0.040872992,0.440334992,0.458779641,-0.296209974,-0.125583355,-0.096247043,0.035992797,79,2.184473232,0.051561314,0.852708372,0.659029721,0.423916315,1.36651343,-0.164875744,0.577090927,0.325696491,2.183138458,1.00086106,51.32117296,0.089269507,-0.111254443,0.126339407,-0.91749659
4,7.528089811,6.814076153,4.304762772,4.530841335,2.083248499,2.093568255,1.494585101,1.572995206,4.560642315,5.284381377,6.203440105,5.607687533,2.556260704,1.981841425,0.719291235,0.618104121,-0.193953887,-0.160293344,-0.665120581,-0.688926164,-0.914637001,-0.755507937,3.707783433,3.431558987,1.595561912,1.610259006,-0.190912408,-0.278882784,-0.127488711,-0.090303795,-0.276889007,-0.258534379,-0.221319543,-0.298908196,2.642999572,2.408027875,4.459136111,4.2034088,2.550818908,2.230557253,3.776468384,3.691173645,3.146042859,2.773110452,3.925661705,3.992636494,3.78763615,3.528400695,0.086355813,0.100347154,0.783481997,1.17329273,0.983364645,-0.364273749,1.421549896,1.013677834,3.465634245,4.14404595,1.641789641,1.122305316,-0.49356819,1.86646041,4.175692164,1.82036592,0.927017711,-0.25500757,1.903759043,-0.231247069,-0.298805247,3.76264562,3.491116035,1.550841592,1.413626043,2.550363732,2.23135684,2.076060083,2.07440442,3.037278986,2.739324392,5.417818651,5.994006559,1.826473599,1.869926341,0.067355087,0.016037135,3.25685081,3.597748604,3.477207867,3.334643216,1.666391108,3.390478075,1.535758736,3.203676389,2.846579652,3.657508291,0.13111412,5.528683388,1.675003807,2.220797358,3.730169152,4.049184758,3.564371772,4.579731696,3.682998735,4.04318073,3.775727513,30,2.683087751,1.480108473,-0.311958225,0.413687178,3.910428573,0.623210008,-0.243663885,2.642170063,1.51230257,0.985793434,1.394031996,21.10299812,-0.24567513,-0.124403103,0.059742141,-0.964383345
5,1.711625707,1.922868281,1.964880737,1.882178494,2.986917414,2.638784252,3.162966658,2.9310661,1.475907957,1.18751097,1.551898525,1.361451701,1.756578102,1.709011152,1.87313951,1.689115343,1.680422869,1.876600487,1.709733004,2.134392138,1.056081988,1.621980327,2.053400954,1.953055555,2.800022779,2.954752155,2.253325207,1.595782693,0.011216479,0.132530972,0.46079708,0.572739492,2.16619508,1.571197259,3.020897105,2.938918481,-0.04138573,-0.227911235,2.720081662,2.76995917,-0.309066728,-0.34833624,2.233148462,2.253778584,1.26799845,1.476248831,1.785654975,1.856224167,2.332147195,2.390089656,-0.169774177,-0.336593902,-0.159822537,0.077890792,-0.422716738,-0.210143008,2.119949041,1.480570882,2.131423553,1.996192326,2.037943568,2.5844157,1.356944089,2.609320282,2.036215783,2.035771532,2.358045322,2.171116786,1.571400364,1.985186034,1.905605928,1.368526483,1.577617332,2.720486154,2.769941189,-0.067492782,-0.119282116,2.550517857,2.554527123,-0.24640973,-0.182225303,-0.220920282,-0.223354033,-0.090356407,-0.101706173,-0.051264144,0.206195519,1.189676634,1.059589699,2.619517475,1.728710686,2.591854378,1.753116269,2.046816724,1.823418202,1.768140699,1.510423523,2.186176151,1.88873468,2.070485784,1.820728623,1.943725691,0.486407123,0.635360531,0.503913895,1.04769132,152,2.625844575,2.976537031,2.270837327,1.942785018,0.993310434,2.319939727,1.991179463,1.764506178,1.568676967,5.260315004,1.058544066,161.2198977,0.614250076,-0.121141758,0.490541961,-0.210490788
6,0.168647035,0.095619146,-0.33736838,-0.292167065,-0.160790577,-0.186425915,-0.152588215,-0.149775033,-0.000357771,-0.096839016,-0.063768801,-0.171578983,-0.340524653,-0.114293604,-0.184220881,-0.109224396,-0.280273869,-0.400144972,-0.614991745,-0.569090922,-0.530513808,-0.663422124,-0.200424044,-0.212833242,-0.128063123,-0.385859657,-0.371967046,-0.393445674,-0.231517603,-0.217637948,-0.276889007,-0.092279605,-0.407294366,-0.411506168,-0.328040396,-0.352693717,0.109892315,0.096644652,-0.023869998,-0.087853249,-0.350646135,-0.302479385,-0.200349799,-0.228390868,-0.099008455,-0.073672338,-0.167703282,-0.186690441,-0.401009497,-0.491384055,0.214705814,0.570287691,0.560350428,-0.364273749,0.615685562,0.139520089,-0.24129485,-0.21797656,-0.425553544,-0.204910579,-0.433650752,-0.127441635,-0.195146578,-0.483380815,-0.013552275,-0.509943241,-0.184681159,-0.402126507,-0.421200902,-0.163137004,-0.188464024,-0.281202916,-0.258027101,-0.024299139,-0.087446223,-0.303996864,-0.292118024,-0.28303311,-0.300964016,-0.263470659,-0.182225303,-0.150949911,-0.139879662,-0.078224754,-0.079278877,-0.116448675,-0.36233072,0.217035467,0.241732869,-0.541122277,-0.0933236,-0.295200377,-0.172744051,-0.244977041,-0.177572109,-0.184183757,0.220489527,-0.472145224,-0.390830733,-0.529018285,-0.031829537,-0.016816657,-0.310439376,-0.127514684,-0.292561368,-0.09890034,40,1.109060688,0.688756648,-2.087735398,-1.721086004,0.141676208,-0.657170557,-2.070352524,-0.549925371,-0.717175206,-1.8850837,0.927368824,18.3601376,-0.228381624,-0.125625296,-2.538554446,0.055897342
7,-0.352411208,-0.353704411,0.065525216,0.168061585,0.362386163,0.49847352,0.211486574,0.166297732,-0.254594119,-0.376717422,-0.109514851,0.035748964,0.263365454,0.433585076,1.067459917,1.249521185,1.236491532,0.880293722,0.362520548,0.351243737,0.404742661,0.198835944,0.261317589,0.281771773,-0.308040034,0.340001675,-0.542371411,-0.518423373,-0.231517603,-0.217637948,-0.030993645,-0.258534379,-0.54803207,-0.543686397,0.009197275,0.040726067,0.658275228,0.704243465,-0.065647319,-0.040223042,0.717514476,0.749490574,0.301704113,0.328625759,0.663169266,0.547445165,0.304681887,0.316086939,-0.37543786,-0.386135421,0.165454245,-0.179907553,0.504414663,-0.364273749,0.567574259,0.664014736,0.228871209,0.743897497,-0.493558254,-0.587236145,0.12058555,-0.028640448,0.78607757,-0.336109335,-0.392028644,0.222086329,-0.010201183,-0.567980078,-0.528909079,0.322173903,0.351920593,-0.436837765,-0.273897226,-0.065645347,-0.040223408,0.484350074,0.595327892,0.324495406,0.308960304,0.327974875,0.334094609,-0.178329621,-0.1848274,-0.072158927,-0.051244755,0.274658511,0.323821638,0.175512622,0.230662049,0.702876442,0.333387014,0.572096045,0.349941112,0.066172172,0.310606918,1.187992605,0.039041011,-0.718723954,-0.166464058,-0.009117471,0.311979586,0.317263895,0.718820685,0.901884024,0.487086952,0.582664981,75,-0.387391001,-0.118694293,0.820216443,0.589817234,0.677073082,0.018327706,-1.035117615,0.968973713,0.173669677,-0.387313212,0.788127093,20.22118054,0.159375535,-0.125619414,0.098696015,-0.955673702
8,-0.501862022,-0.559109466,-0.472404145,-0.489407915,-0.670995994,-0.673064986,-0.552010071,-0.625620846,-0.681711184,-0.706390145,-0.517070573,-0.530415814,-0.555188714,-0.484721699,-0.578428396,-0.492870207,-0.087081528,0.020517884,0.143206893,0.063639156,0.154227535,0.391379007,-0.533995402,-0.496848377,-0.716449178,-0.757038747,-0.393267592,-0.351786441,-0.127488711,-0.090303795,-0.276889007,-0.258534379,-0.412320713,-0.367446092,-0.507422136,-0.467102,-0.468431045,-0.467176855,-0.42484614,-0.378926736,-0.494023398,-0.503017575,-0.524537526,-0.49649101,-0.463499368,-0.535201583,-0.558037274,-0.538473976,-0.244571249,-0.10079468,0.465729939,-0.341341973,-0.04270703,0.077890792,-0.282392103,-0.035311459,-0.549506187,-0.465315603,-0.561562964,-0.396073362,0.12058555,-0.631798169,-0.467708842,-0.599094122,-0.170938488,0.047273298,-0.679395726,-0.407152372,-0.367346814,-0.542391032,-0.510212462,-0.121121357,-0.030555312,-0.424409846,-0.379739166,-0.34904526,-0.285470489,-0.433333133,-0.411095722,-0.326027398,-0.33254629,-0.296975032,-0.293986193,-0.12068554,-0.068065228,-0.442371331,-0.558374251,-0.590772592,-0.614871832,-0.535928128,-0.545075916,-0.523332769,-0.486065037,-0.552608235,-0.548278425,-0.283817886,-0.410731372,-0.606130927,-0.561349405,-0.569010655,-0.622035199,-0.61195822,-0.343641313,-0.355411584,-0.376696079,-0.466306646,83,2.216804261,2.809559837,0.889377079,-0.442431041,-0.282337482,-2.755808724,-2.837791892,-3.590114292,-2.227568002,-3.198797096,1.11344798,47.70577691,0.070519381,-0.125595548,0.648082997,-0.218704161
9,-0.037352736,-0.054155373,0.231552796,0.191542638,0.215377823,0.183059307,-0.283372363,-0.30954808,-0.127475945,-0.108858334,0.025643934,-0.000134719,0.374235904,0.313805931,0.575419879,0.452923285,0.336297432,0.345240089,0.349988339,0.370417376,0.304536611,0.307664632,0.11342881,0.090866111,1.187152767,1.519526339,-0.105710225,-0.060171811,-0.127488711,-0.122137334,-0.092467485,-0.092279605,-0.125818958,-0.083503379,0.584653898,0.545388688,-0.567707262,-0.582658368,0.528279747,0.49185115,-0.505493579,-0.51807505,0.289542323,0.250026119,-0.463499368,-0.341780613,0.129436782,0.083492164,-0.021947589,0.039536832,-0.749671682,-0.578745531,-0.469217232,0.077890792,-0.695347457,-0.384974557,0.100333249,0.113335615,0.676122759,0.570664142,0.510048898,0.080511339,0.124356964,0.421286852,0.379913257,0.506157506,-0.043182154,-0.135755619,-0.078493068,0.175171014,0.145696075,0.101214142,0.17575631,0.528275713,0.492254543,-0.266456533,-0.292118024,0.088761685,0.118563118,-0.303279493,-0.339081985,-0.309143792,-0.293986193,-0.12068554,-0.118526646,-0.149040941,-0.283913308,0.570608776,0.468684679,0.988554645,0.002335704,0.79629512,-0.026720999,0.380839404,0.105977032,0.408576252,0.269975486,0.168509101,-0.085692056,-0.039111749,0.08678461,0.023893352,-0.566568607,-0.473222693,-0.561792443,-0.372236432,82,1.565239865,-3.856016696,0.9191497,0.689777412,0.1461179,2.431143915,-0.557211945,-0.254111468,0.042819848,1.800097796,0.754290865,301.4909766,0.132021942,-0.123334199,-0.22435502,-1.036939054
10,4.155348473,4.011153007,2.582503337,2.809680109,1.253083754,1.138313781,1.233016806,0.864436478,2.701327156,2.851327996,3.5917565,2.866572852,1.324891033,0.954846168,0.356735418,0.375661282,-0.193953887,-0.256233995,-0.583661223,-0.583471151,-0.781028934,-0.730393624,2.176312962,1.880567644,0.218046322,0.059555251,0.458754235,-0.289297592,-0.092812413,0.005196819,-0.092467485,-0.092279605,0.412000126,-0.27932594,1.57340605,1.259422987,2.64379957,2.424389668,1.213944641,1.147682462,2.235162806,2.184057283,1.940505379,1.795101233,2.204122654,2.212908233,2.024042344,1.972842819,0.797848997,-0.374441128,1.873371556,1.372711719,1.411622839,0.077890792,1.974829886,1.363340932,1.943539627,2.560007324,0.662521817,0.242956514,-0.553485628,0.986659366,2.384352399,0.905178861,0.518563016,-0.276859199,0.634523607,0.41708962,-0.284117769,2.198642283,1.926610277,0.092320722,0.159886185,1.213502984,1.14767465,0.596971066,0.515557473,1.956700923,1.841937652,5.087974026,5.477686647,1.637857818,1.747925338,-0.053961447,-0.040031107,6.597558029,7.597036635,0.282465403,0.208520408,0.861297991,1.696156472,0.613395875,1.726522667,1.104378592,1.999544891,-0.469213038,3.597631302,0.150494217,0.775875974,1.530588785,2.149639351,2.15050669,2.179705933,2.130209688,2.192217092,2.380648497,39,2.575639641,1.392872435,-0.441038073,0.227983465,1.587742416,0.07797781,-0.042039282,2.180584551,1.033769822,0.43605463,1.304958222,31.93104834,-0.239022078,-0.125473374,0.612356827,-0.262544912
